id,product_url,product_name,price,currency,image_url,location,sold,shop_type,list_type,sourcing_status,sourcing_notes,status_updated_at,created_at,updated_at
25,https://shopee.sg/-MIX-MATCH-Underdog-Cooked-Frozen-Dog-Food-8-x-150g-Pawpy-Kisses-i.175405163.12829027184,[MIX & MATCH] Underdog Cooked Frozen Dog Food 8 x 150g | Pawpy Kisses,,,https://down-sg.img.susercontent.com/file/6567b2058a4c19fc775d0ca4c7f57fd5_tn.webp,,3,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.815600,2025-09-12 12:23:24.818745
26,https://shopee.sg/%F0%9F%94%A5SG-Stock%F0%9F%94%A5Petsthoughts-Absorbent-Pet-Training-Pads-Disposable-Pee-Pad-Diaper-for-Dogs-Cats-animal-Fast-Delivery-i.1273916001.26701920355,"🔥SG Stock🔥Petsthoughts Absorbent Pet Training Pads Disposable Pee Pad Diaper for Dogs Cats,animal Fast Delivery",,,https://down-sg.img.susercontent.com/file/m0ztlyo13oxg4a_tn.webp,,78,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.816429,2025-09-12 12:23:24.820108
27,https://shopee.sg/Cat-Mat-Double-Layer-Cat-Litter-Mat-Trapping-Mat-Waterproof-Washable-Carpet-Kucing-i.784470585.23252466936,Cat Mat Double Layer Cat Litter Mat Trapping Mat Waterproof Washable Carpet Kucing,,,https://down-sg.img.susercontent.com/file/m227jy7w4yiga0_tn.webp,,49,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.817197,2025-09-12 12:23:24.821050
28,https://shopee.sg/Cat-Scratcher-Self-Adhesive-Cat-Scratching-Pad-Anti-Cat-Grabbing-Sofa-Furniture-DIY-Protection-Sticker-Replace-Cat-Tree-Rope-Sofa-Repair-Sticker-Cat-Climbing-Pad-i.1262090414.28419932384,Cat Scratcher Self Adhesive Cat Scratching Pad Anti -Cat Grabbing Sofa Furniture DIY Protection Sticker Replace Cat Tree Rope Sofa Repair Sticker Cat Climbing Pad,,,https://down-sg.img.susercontent.com/file/m9hbw13e4knm9e_tn.webp,,72,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.818066,2025-09-12 12:23:24.821997
29,https://shopee.sg/mixshop-Dog-Poop-Bag-Pet-Poop-Bag-Small-Garbage-Rubbish-bag-samll-plastic-bag-SG-READY-STOCK--i.286076538.19783765313,"mixshop Dog Poop Bag/Pet Poop Bag/Small Garbage Rubbish bag, samll plastic bag [SG READY STOCK]",,,https://down-sg.img.susercontent.com/file/ll8noc7yk7p737_tn.webp,,58,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.819844,2025-09-12 12:23:24.823729
30,https://shopee.sg/SG-Shipment-Pet-bowl-ceramic-cat-bowl-High-foot-cat-dog-feeding-need-food-bowl-snack-canned-plate-anti-cervical-spondylosis-Anti-turnover-i.240811845.9955155150,SG Shipment Pet bowl ceramic cat bowl High-foot cat dog feeding need food bowl snack canned plate anti-cervical spondylosis Anti-turnover,,,https://down-sg.img.susercontent.com/file/lxdpijoc4rpod6_tn.webp,,39,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.821698,2025-09-12 12:23:24.825209
31,https://shopee.sg/Absolute-Holistic-Dog-Jerky-Treats-100g-Training-Rewards-Tasty-Flavors-i.268028767.24965607014,"Absolute Holistic Dog Jerky Treats 100g - Training Rewards, Tasty Flavors",,,https://down-sg.img.susercontent.com/file/lx8gos1vl8db7e_tn.webp,,22,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.823417,2025-09-12 12:23:24.826618
32,https://shopee.sg/-PPC-Cat-Scratch-Board-Cat-Scratcher-Large-Claw-Pad-Nest-Bowl-shape-Claw-Grinding-Cat-Toys-Wave-Flat-Scratching-Board-i.156182045.22054288088,[PPC] Cat Scratch Board Cat Scratcher Large Claw Pad Nest Bowl shape Claw-Grinding Cat Toys Wave & Flat Scratching Board,,,https://down-sg.img.susercontent.com/file/lw5jr92srtradd_tn.webp,,49,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.824653,2025-09-12 12:23:24.828364
33,https://shopee.sg/-Bundle-of-6-Kit-Cat-Soya-Clump-7L-Scented-Cat-Litter-Absorbent-Eco-Friendly-i.268028767.25819315951,"[Bundle of 6] Kit Cat Soya Clump - 7L Scented Cat Litter, Absorbent & Eco-Friendly",,,https://down-sg.img.susercontent.com/file/mbcelvlf5kkj15_tn.webp,,46,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.825645,2025-09-12 12:23:24.831028
34,https://shopee.sg/-As-Low-As-5.80-Absolute-Holistic-Grain-free-Jerky-Treats-i.291402948.12395495991,[As Low As $5.80] Absolute Holistic Grain free Jerky Treats,,,https://down-sg.img.susercontent.com/file/lzfkoztsylrecc_tn.webp,,5,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.826692,2025-09-12 12:23:24.832347
